name,institution,homepage,scholarid,region,country
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,north america,us
Aaron McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,australasia,au
Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,north america,us
Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,north america,us
Aaron Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,north america,us
Aaron Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ,north america,us
Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,north america,us
Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,north america,us
Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,north america,us
Aaron Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ,europe,it
Aart Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ,europe,at
Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,north america,us
Aarti Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,north america,us
Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,north america,us
Aarushi Goel,Purdue University,https://aarushigoel.github.io,e-9_xpYAAAAJ,north america,us
Aasa Feragen,DTU,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ,europe,dk
Aashish Yadavally,University of Central Florida,https://aashishyadavally.github.io,6c3v-nUAAAAJ,north america,us
Aastha Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ,north america,ca
Aayush Jain,Carnegie Mellon University,https://sites.google.com/view/aayushjain,VZ6S70MAAAAJ,north america,us
Abani K. Patra,Tufts University,https://engineering.tufts.edu/cs/people/faculty/abani-patra,J1dycZQAAAAJ,north america,us
Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,europe,gb
Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,asia,ir
Abbe Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ,north america,us
Abbes Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ,asia,qa
Abby Stylianou,Saint Louis University,https://cs.slu.edu/people/stylianou,mNoB9SgAAAAJ,north america,us
Abdalla Swikir,MBZUAI,https://mbzuai.ac.ae/study/faculty/abdalla-swikir,SRX1SmMAAAAJ,asia,ae
Abdallah Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ,australasia,au
Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,asia,jo
AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,north america,ca
Abdelaziz Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ,asia,qa
